fund_id,net_asset_value_date,net_asset_value,assets_under_management,outstanding_shares,net_income_expenses
1,03/06/2025,10.595200,329281883.35,31031208.964957000000,37496.877206
1,03/05/2025,10.592827,336394568.98792954,31756826.481536000000,37172.836473
1,03/04/2025,10.591609,320507150.14857321,30260477.907424000000,35849.427946
1,03/03/2025,10.590419,319501269.10234149,30168897.859692000000,105037.551628
1,02/28/2025,10.586856,313105864.55035191,29574962.061480000000,34105.165270
1,02/27/2025,10.585709,304840452.39774434,28797358.060546000000,36872.582854
1,02/26/2025,10.584524,331575337.67909479,31326428.819954000000,38984.589003
1,02/25/2025,10.583339,339509159.54897238,32079588.450202000000,35540.728064
1,02/24/2025,10.582151,317291609.32390398,29983659.212943000000,102979.093878
1,02/21/2025,10.578607,304911836.51514959,28823439.278456000000,34284.398431
1,02/20/2025,10.577392,294680952.58186429,27859509.469051000000,33158.737666
1,02/19/2025,10.576220,292445542.76941803,27651234.823918000000,29804.240776
1,02/18/2025,10.575056,267498333.99954788,25295216.781788000000,121263.699265
1,02/14/2025,10.570369,268189293.95581217,25371800.545072000000,30423.848288
1,02/13/2025,10.569189,271715736.76070656,25708286.299044000000,30319.156307
1,02/12/2025,10.568007,270741422.67897751,25618967.008536000000,30362.665550
1,02/11/2025,10.566772,269904141.07705219,25542724.029349000000,25003.596246
1,02/10/2025,10.565598,222841014.28749448,21091188.050832000000,73965.820926
1,02/07/2025,10.562101,224480804.46650267,21253423.392420000000,24454.119728
1,02/06/2025,10.560923,219027308.11012024,20739409.624530000000,24424.572906
1,02/05/2025,10.559750,218573471.54980494,20698735.438794000000,24658.795386
1,02/04/2025,10.558565,217842045.73094332,20631785.259734000000,24482.434878
1,02/03/2025,10.557439,230597364.69361660,21842168.796203000000,75429.142390
1,01/31/2025,10.554023,231317398.63631358,21917462.055589000000,26390.280000
1,01/30/2025,10.552780,222006133.51242497,21037691.822669000000,26107.616668
1,01/29/2025,10.551435,224011017.84885025,21230384.099305000000,21622.356334
1,01/28/2025,10.550202,186097555.77960977,17639241.009756000000,22297.110836
1,01/27/2025,10.548975,191459902.94152667,18149621.450570000000,68119.520000
1,01/24/2025,10.545335,193049336.84608839,18306610.159477000000,22555.100000
1,01/23/2025,10.544090,189148538.55005314,17938820.566787000000,22510.801670
1,01/22/2025,10.542827,187504122.04923807,17784994.674506000000,22279.840000
1,01/21/2025,10.541562,185445714.57443603,17591863.006112000000,89538.763612
1,01/17/2025,10.536581,185358089.50480258,17591863.006112000000,22492.560000
1,01/16/2025,10.535301,186766997.70161505,17727732.477849000000,22151.488612
1,01/15/2025,10.534070,182220982.65390959,17298250.595820000000,22970.038055
1,01/14/2025,10.532838,192197161.07041176,18247424.015295000000,23110.882000
1,01/13/2025,10.531535,182079650.66342777,17288994.497329000000,68800.555663
1,01/10/2025,10.527806,184436475.41781822,17518985.001986000000,23350.77
1,01/09/2025,10.526547,194934509.70672259,18518371.666105000000,23244.623477
1,01/08/2025,10.525256,188144213.90108829,17875500.025946000000,23062.4845
1,01/07/2025,10.524016,190463724.18461966,18098007.850294000000,23133.973326
1,01/06/2025,10.522756,192119433.23232910,18257520.485349000000,67457.3
1,01/03/2025,10.519036,190112068.97696413,18073145.578831000000,22436.124713
1,01/02/2025,10.517744,181221357.90565523,17230059.783320000000,44983.977794
1,12/31/2024,10.515228,182187795.79303554,17326090.864890000000,23178.46929
1,12/30/2024,10.513977,189197022.70604942,17994810.403908000000,64795.11
1,12/27/2024,10.510273,195974766.17360199,18646020.533777000000,20553.19
1,12/26/2024,10.508961,168787838.99450610,16061325.091463000000,39754.95739
1,12/24/2024,10.506393,161724144.08025680,15392927.342453000000,20038.00011
1,12/23/2024,10.505104,162404715.43076097,15459600.916922000000,59123.5
1,12/20/2024,10.501288,164360312.42848535,15651443.178064000000,19503.0915
1,12/19/2024,10.499991,157304584.54733839,14981401.845710000000,19642.41
1,12/18/2024,10.498639,153967359.21580507,14665458.943374000000,18493.22
1,12/17/2024,10.497339,149125378.68837072,14206017.228592000000,18397.47552
1,12/16/2024,10.496052,148043547.88771353,14104688.876133000000,58773.05416
1,12/13/2024,10.492159,149042432.00769196,14205125.180403000000,20012.39583
1,12/12/2024,10.490772,149058643.18559404,14208548.540145000000,19808.58275
1,12/11/2024,10.48944,158474220.36480643,15107977.200385000000,19350.97
1,12/10/2024,10.488123,153991944.29630645,14682507.470241000000,19295.7887
1,12/09/2024,10.486799,152068790.31470068,14500973.110546000000,57801.99667